omega G_prime G_dprime
1e-06 0.000261538 0.0021999
1.09037e-06 0.000309091 0.00238982
1.1889e-06 0.000364903 0.00259443
1.29634e-06 0.000430257 0.00281443
1.41349e-06 0.000506585 0.00305041
1.54123e-06 0.000595459 0.00330284
1.68051e-06 0.00069858 0.00357204
1.83237e-06 0.000817757 0.00385811
1.99796e-06 0.000954872 0.00416095
2.17852e-06 0.00111183 0.00448018
2.37539e-06 0.00129049 0.00481511
2.59005e-06 0.0014926 0.00516481
2.82411e-06 0.00171974 0.00552804
3.07932e-06 0.00197317 0.00590338
3.3576e-06 0.00225388 0.00628928
3.66102e-06 0.00256247 0.00668414
3.99186e-06 0.00289917 0.00708648
4.3526e-06 0.00326396 0.00749502
4.74594e-06 0.0036566 0.00790882
5.17483e-06 0.00407685 0.00832729
5.64247e-06 0.00452457 0.0087502
6.15238e-06 0.00499997 0.00917756
6.70836e-06 0.00550366 0.00960952
7.31459e-06 0.00603676 0.0100461
7.9756e-06 0.00660085 0.010487
8.69635e-06 0.00719788 0.0109314
9.48223e-06 0.0078299 0.0113776
1.03391e-05 0.00849886 0.0118233
1.12735e-05 0.00920623 0.0122652
1.22922e-05 0.00995277 0.0126995
1.34031e-05 0.0107383 0.0131218
1.46143e-05 0.0115615 0.0135277
1.5935e-05 0.0124199 0.0139133
1.7375e-05 0.0133102 0.0142748
1.89452e-05 0.0142283 0.0146098
2.06572e-05 0.0151698 0.0149166
2.2524e-05 0.0161302 0.0151947
2.45594e-05 0.0171054 0.0154446
2.67789e-05 0.0180919 0.0156672
2.91988e-05 0.0190871 0.0158638
3.18375e-05 0.0200887 0.0160356
3.47146e-05 0.0210952 0.0161837
3.78517e-05 0.0221049 0.0163083
4.12724e-05 0.0231162 0.0164093
4.50021e-05 0.0241268 0.0164861
4.90689e-05 0.0251333 0.0165383
5.35032e-05 0.0261318 0.0165657
5.83382e-05 0.0271171 0.0165687
6.36102e-05 0.0280836 0.0165494
6.93586e-05 0.0290255 0.016511
7.56264e-05 0.0299371 0.0164585
8.24607e-05 0.0308137 0.0163985
8.99126e-05 0.0316515 0.0163388
9.80379e-05 0.0324485 0.0162881
0.000106898 0.0332045 0.0162559
0.000116558 0.0339208 0.0162516
0.000127091 0.0346006 0.016284
0.000138576 0.0352486 0.0163616
0.000151099 0.0358707 0.0164916
0.000164754 0.0364736 0.0166801
0.000179642 0.0370646 0.0169319
0.000195876 0.0376515 0.0172504
0.000213577 0.0382418 0.0176381
0.000232878 0.0388425 0.0180958
0.000253923 0.0394604 0.0186239
0.00027687 0.040101 0.0192217
0.00030189 0.0407692 0.0198884
0.000329172 0.0414685 0.0206231
0.000358919 0.0422019 0.0214252
0.000391354 0.042971 0.0222948
0.00042672 0.0437775 0.023233
0.000465282 0.0446226 0.0242421
0.000507329 0.0455079 0.0253255
0.000553176 0.0464359 0.0264878
0.000603166 0.0474101 0.0277342
0.000657674 0.0484357 0.0290703
0.000717107 0.049519 0.0305015
0.000781911 0.050668 0.0320325
0.000852572 0.0518918 0.0336668
0.000929618 0.0532002 0.0354064
0.00101363 0.0546031 0.0372514
0.00110523 0.0561097 0.0392004
0.0012051 0.0577283 0.0412502
0.00131401 0.0594655 0.0433967
0.00143275 0.0613255 0.0456352
0.00156223 0.0633107 0.0479614
0.00170341 0.0654214 0.0503723
0.00185734 0.067656 0.0528663
0.00202519 0.0700122 0.0554445
0.0022082 0.0724876 0.0581102
0.00240776 0.0750803 0.0608693
0.00262534 0.07779 0.0637296
0.00286259 0.080618 0.0667001
0.00312128 0.0835675 0.0697908
0.00340335 0.0866434 0.0730116
0.00371091 0.0898522 0.0763721
0.00404626 0.093201 0.0798814
0.00441191 0.0966975 0.0835485
0.00481061 0.10035 0.087382
0.00524534 0.104166 0.0913912
0.00571936 0.108155 0.0955857
0.00623621 0.112327 0.0999756
0.00679977 0.116693 0.104572
0.00741426 0.121265 0.109384
0.00808428 0.126057 0.114423
0.00881485 0.131086 0.119697
0.00961143 0.136365 0.125214
0.01048 0.141912 0.130979
0.0114271 0.147739 0.136999
0.0124597 0.15386 0.143279
0.0135857 0.160288 0.149826
0.0148134 0.167036 0.156649
0.0161521 0.174115 0.16376
0.0176118 0.181542 0.171171
0.0192033 0.189337 0.178898
0.0209387 0.197522 0.186955
0.0228309 0.206126 0.195353
0.0248941 0.215181 0.204101
0.0271438 0.22472 0.2132
0.0295967 0.234774 0.222647
0.0322713 0.245373 0.232432
0.0351877 0.256537 0.242542
0.0383675 0.268283 0.252964
0.0418348 0.280616 0.263689
0.0456153 0.293539 0.274713
0.0497375 0.307048 0.286047
0.0542323 0.321148 0.29771
0.0591332 0.335847 0.309734
0.064477 0.351172 0.32216
0.0703037 0.367164 0.335031
0.076657 0.383888 0.348385
0.0835844 0.401428 0.362248
0.0911378 0.419881 0.376628
0.0993738 0.439358 0.391503
0.108354 0.459968 0.406826
0.118146 0.48181 0.422515
0.128823 0.504966 0.438464
0.140464 0.529489 0.454545
0.153158 0.555397 0.470623
0.166999 0.58267 0.486561
0.18209 0.611258 0.502239
0.198545 0.641079 0.517564
0.216488 0.672041 0.532481
0.236051 0.704049 0.546972
0.257383 0.737028 0.561058
0.280643 0.770937 0.574792
0.306004 0.805779 0.588237
0.333657 0.841611 0.601455
0.36381 0.878543 0.61448
0.396687 0.916729 0.627301
0.432535 0.956353 0.639838
0.471623 0.997604 0.651933
0.514243 1.04065 0.663342
0.560714 1.08563 0.673736
0.611385 1.13257 0.682717
0.666635 1.18142 0.689835
0.726879 1.23201 0.694621
0.792566 1.28402 0.696626
0.864189 1.33704 0.695456
0.942285 1.39052 0.69081
1.02744 1.44386 0.682513
1.12029 1.4964 0.670532
1.22153 1.5475 0.654984
1.33191 1.59656 0.636125
1.45228 1.64306 0.614328
1.58352 1.6866 0.590055
1.72662 1.72688 0.563821
1.88265 1.76374 0.536158
2.05279 1.79713 0.507587
2.23829 1.82708 0.478595
2.44057 1.85373 0.449611
2.66112 1.87727 0.421008
2.9016 1.89791 0.393086
3.16381 1.91591 0.366087
3.44972 1.93152 0.340186
3.76147 1.945 0.315511
4.10139 1.9566 0.292138
4.47203 1.96654 0.27011
4.87616 1.97504 0.249436
5.31682 1.98229 0.230103
5.79729 1.98846 0.212078
6.32119 1.9937 0.195316
6.89243 1.99814 0.179762
7.51529 2.0019 0.165356
8.19444 2.00509 0.152034
8.93496 2.00778 0.13973
9.7424 2.01005 0.128379
10.6228 2.01197 0.117917
11.5828 2.01359 0.108281
12.6295 2.01496 0.0994134
13.7708 2.01611 0.0912563
15.0153 2.01708 0.0837566
16.3722 2.0179 0.076864
17.8517 2.01858 0.0705315
19.465 2.01916 0.0647152
21.224 2.01965 0.0593742
23.142 2.02006 0.0544708
25.2333 2.02041 0.0499698
27.5136 2.0207 0.0458387
30 2.02094 0.0420477
