lag_time G_GK G_FSR
0 71.2171 71.2105
0.01 65.1847 65.1796
0.02 49.8048 49.8023
0.03 30.2603 30.2603
0.04 11.3493 11.3508
0.05 -3.70254 -3.70048
0.06 -13.2304 -13.2285
0.07 -16.8316 -16.8302
0.08 -15.1086 -15.1077
0.09 -9.43158 -9.43121
0.1 -1.66976 -1.66962
0.11 6.13705 6.13733
0.12 12.178 12.1788
0.13 15.2877 15.2891
0.14 15.225 15.2272
0.15 12.6455 12.6482
0.16 8.74882 8.7519
0.17 4.79442 4.79749
0.18 1.72478 1.7275
0.19 0.00323301 0.0052989
0.2 -0.366724 -0.365492
0.21 0.286291 0.286737
0.22 1.47403 1.47405
0.23 2.70987 2.71005
0.24 3.61857 3.61955
0.25 3.98774 3.98997
0.26 3.77846 3.78202
0.27 3.10912 3.11366
0.28 2.21186 2.21675
0.29 1.36033 1.36492
0.3 0.784845 0.788648
0.31 0.605603 0.608454
0.32 0.810295 0.812314
0.33 1.28073 1.28227
0.34 1.85041 1.85194
0.35 2.36468 2.36672
0.36 2.72046 2.72351
0.37 2.87765 2.88213
0.38 2.84872 2.8548
0.39 2.67909 2.68664
0.4 2.42842 2.43693
0.41 2.15608 2.16473
0.42 1.91072 1.91864
0.43 1.72337 1.72992
0.44 1.60498 1.60989
0.45 1.54892 1.5522
0.46 1.53769 1.53954
0.47 1.55172 1.55248
0.48 1.57676 1.57692
0.49 1.60692 1.60711
0.5 1.64267 1.64361
0.51 1.68575 1.68807
0.52 1.73439 1.73841
0.53 1.7813 1.78691
0.54 1.81535 1.82203
0.55 1.82569 1.83279
0.56 1.80607 1.81301
0.57 1.75726 1.76372
0.58 1.68686 1.69274
0.59 1.60696 1.61227
0.6 1.53092 1.5356
0.61 1.47035 1.4743
0.62 1.43308 1.43618
0.63 1.4218 1.42407
0.64 1.43775 1.43939
0.66 1.49376 1.49452
0.68 1.53449 1.53483
0.7 1.51655 1.51758
0.72 1.45735 1.45983
0.74 1.40228 1.40567
0.76 1.37619 1.37932
0.78 1.37147 1.3734
0.8 1.36566 1.36697
0.82 1.34591 1.34838
0.84 1.31865 1.32248
0.86 1.29767 1.30116
0.88 1.28779 1.28976
0.9 1.28269 1.28318
0.92 1.2733 1.2734
0.94 1.25602 1.25674
0.96 1.23407 1.23519
0.98 1.21345 1.21377
1 1.19841 1.19737
1.02 1.18894 1.1874
1.04 1.1821 1.18143
1.06 1.17504 1.1754
1.08 1.16584 1.16626
1.1 1.15295 1.15279
1.12 1.13742 1.13655
1.14 1.12214 1.12159
1.16 1.10978 1.11085
1.18 1.10153 1.10388
1.2 1.09625 1.09849
1.22 1.09002 1.09126
1.24 1.08 1.08037
1.26 1.06734 1.06743
1.28 1.05614 1.05661
1.32 1.03695 1.04045
1.36 1.02277 1.02807
1.4 1.00664 1.01007
1.44 0.993215 0.993051
1.48 0.979862 0.979872
1.52 0.964461 0.966801
1.56 0.954088 0.953641
1.6 0.942349 0.941767
1.64 0.925356 0.92926
1.68 0.916186 0.916875
1.72 0.908232 0.905944
1.76 0.893296 0.896346
1.8 0.882658 0.884187
1.84 0.874618 0.872555
1.88 0.862829 0.865337
1.92 0.852781 0.85617
1.96 0.843988 0.845512
2 0.836586 0.836999
2.04 0.828245 0.829145
2.08 0.818364 0.821116
2.12 0.807741 0.809613
2.16 0.796728 0.79716
2.2 0.792452 0.79358
2.24 0.786326 0.788195
2.28 0.777315 0.778249
2.32 0.774194 0.773367
2.36 0.766298 0.766884
2.4 0.754894 0.755907
2.44 0.749759 0.74924
2.48 0.747198 0.746882
2.52 0.739254 0.740838
2.56 0.730718 0.732236
2.64 0.719999 0.719994
2.72 0.711129 0.710373
2.8 0.698192 0.698154
2.88 0.689915 0.688459
2.96 0.677156 0.677515
3.04 0.670218 0.667494
3.12 0.658237 0.659079
3.2 0.647523 0.647357
3.28 0.638636 0.640461
3.36 0.631789 0.630913
3.44 0.624329 0.625168
3.52 0.614752 0.61658
3.6 0.605925 0.607117
3.68 0.600655 0.601381
3.76 0.595958 0.592214
3.84 0.588332 0.588459
3.92 0.581361 0.580295
4 0.57346 0.574023
4.08 0.568747 0.56837
4.16 0.562453 0.561673
4.24 0.556982 0.556018
4.32 0.550846 0.55024
4.4 0.543391 0.544401
4.48 0.54179 0.538805
4.56 0.53253 0.533923
4.64 0.532794 0.529782
4.72 0.527401 0.526273
4.8 0.522378 0.518283
4.88 0.518446 0.516724
4.96 0.51209 0.510081
5.04 0.508133 0.507039
5.12 0.50278 0.50286
5.28 0.494392 0.493753
5.44 0.487856 0.488225
5.6 0.47824 0.479069
5.76 0.472777 0.471498
5.92 0.4658 0.464141
6.08 0.457264 0.455957
6.24 0.451556 0.450865
6.4 0.445343 0.445693
6.56 0.438072 0.438008
6.72 0.433475 0.434117
