lag_time G_data G_fit
1 1.19841 1.1917
1.02 1.18894 1.18143
1.04 1.1821 1.17134
1.06 1.17504 1.16141
1.08 1.16584 1.15165
1.1 1.15295 1.14206
1.12 1.13742 1.13262
1.14 1.12214 1.12334
1.16 1.10978 1.11421
1.18 1.10153 1.10524
1.2 1.09625 1.09641
1.22 1.09002 1.08773
1.24 1.08 1.07919
1.26 1.06734 1.07079
1.28 1.05614 1.06253
1.32 1.03695 1.04641
1.36 1.02277 1.0308
1.4 1.00664 1.01569
1.44 0.993215 1.00107
1.48 0.979862 0.986903
1.52 0.964461 0.973183
1.56 0.954088 0.95989
1.6 0.942349 0.94701
1.64 0.925356 0.934527
1.68 0.916186 0.922425
1.72 0.908232 0.910692
1.76 0.893296 0.899313
1.8 0.882658 0.888275
1.84 0.874618 0.877566
1.88 0.862829 0.867173
1.92 0.852781 0.857085
1.96 0.843988 0.847291
2 0.836586 0.83778
2.04 0.828245 0.828541
2.08 0.818364 0.819566
2.12 0.807741 0.810843
2.16 0.796728 0.802365
2.2 0.792452 0.794121
2.24 0.786326 0.786105
2.28 0.777315 0.778307
2.32 0.774194 0.770719
2.36 0.766298 0.763335
2.4 0.754894 0.756147
2.44 0.749759 0.749147
2.48 0.747198 0.74233
2.52 0.739254 0.735688
2.56 0.730718 0.729217
2.64 0.719999 0.716758
2.72 0.711129 0.704908
2.8 0.698192 0.693627
2.88 0.689915 0.682875
2.96 0.677156 0.672617
3.04 0.670218 0.662819
3.12 0.658237 0.653451
3.2 0.647523 0.644485
3.28 0.638636 0.635895
3.36 0.631789 0.627656
3.44 0.624329 0.619746
3.52 0.614752 0.612144
3.6 0.605925 0.60483
3.68 0.600655 0.597788
3.76 0.595958 0.591
3.84 0.588332 0.584451
3.92 0.581361 0.578126
4 0.57346 0.572013
4.08 0.568747 0.566099
4.16 0.562453 0.560373
4.24 0.556982 0.554823
4.32 0.550846 0.549442
4.4 0.543391 0.544218
4.48 0.54179 0.539144
4.56 0.53253 0.534212
4.64 0.532794 0.529414
4.72 0.527401 0.524743
4.8 0.522378 0.520194
4.88 0.518446 0.51576
4.96 0.51209 0.511436
5.04 0.508133 0.507216
5.12 0.50278 0.503095
5.28 0.494392 0.495136
5.44 0.487856 0.487524
5.6 0.47824 0.480233
5.76 0.472777 0.473235
5.92 0.4658 0.46651
6.08 0.457264 0.460037
6.24 0.451556 0.4538
6.4 0.445343 0.447782
6.56 0.438072 0.441971
6.72 0.433475 0.436354
6.88 0.427633 0.430919
7.04 0.420888 0.425657
7.2 0.416874 0.420559
7.36 0.414304 0.415617
7.52 0.406183 0.410822
7.68 0.402431 0.406168
