time timestep g1 g3 g1_regular g1_sticker
0.01 1 0.000301119 7.39515e-06 0.000301036 0.00030351
0.02 2 0.00115515 2.89013e-05 0.00115554 0.00115427
0.03 3 0.00247428 6.37557e-05 0.00247651 0.00244529
0.04 4 0.00414619 0.00011097 0.00415244 0.00403944
0.05 5 0.00605727 0.000169511 0.00607172 0.00579378
0.06 6 0.00811112 0.000238481 0.00813786 0.00760374
0.07 7 0.010243 0.000316927 0.0102856 0.00940519
0.08 8 0.0124258 0.000403552 0.0124868 0.011194
0.09 9 0.0146624 0.000498011 0.0147433 0.0129938
0.1 10 0.0169732 0.000599466 0.0170741 0.014856
0.11 11 0.0193778 0.000706794 0.019498 0.0168146
0.12 12 0.0218841 0.000818451 0.022024 0.0188809
0.13 13 0.02451 0.000933955 0.0246696 0.0210829
0.14 14 0.027252 0.00105237 0.0274303 0.0234251
0.15 15 0.0300847 0.00117323 0.0302814 0.0258718
0.16 16 0.0329689 0.00129572 0.0331846 0.0283691
0.17 17 0.0358679 0.00142008 0.0361043 0.0308757
0.18 18 0.0387478 0.0015463 0.0390048 0.033365
0.19 19 0.0415901 0.00167384 0.041868 0.0358172
0.2 20 0.0443909 0.00180325 0.0446897 0.0382293
0.21 21 0.0471459 0.00193378 0.0474641 0.0406192
0.22 22 0.0498473 0.00206447 0.0501859 0.042964
0.23 23 0.052512 0.00219557 0.0528705 0.0453001
0.24 24 0.0551554 0.00232649 0.0555333 0.0476423
0.25 25 0.0577842 0.00245756 0.0581812 0.0499849
0.26 26 0.0603979 0.00258934 0.0608143 0.0523295
0.27 27 0.0629908 0.00272124 0.063427 0.0546558
0.28 28 0.0655631 0.00285371 0.0660206 0.0569506
0.29 29 0.068103 0.00298564 0.0685822 0.0591949
0.3 30 0.0706122 0.00311689 0.071111 0.0614106
0.31 31 0.0730835 0.00324774 0.0736 0.0635904
0.32 32 0.0755068 0.00337659 0.0760384 0.0657377
0.33 33 0.077891 0.0035049 0.0784368 0.0678553
0.34 34 0.0802501 0.00363271 0.0808108 0.0699531
0.35 35 0.0825893 0.00376031 0.0831673 0.072015
0.36 36 0.0849104 0.00388765 0.0855049 0.0740554
0.37 37 0.0872091 0.00401451 0.0878203 0.0760769
0.38 38 0.0894893 0.00414039 0.0901164 0.078085
0.39 39 0.0917532 0.00426459 0.092395 0.0800892
0.4 40 0.0940007 0.0043884 0.094658 0.0820802
0.41 41 0.0962247 0.0045121 0.0968959 0.0840616
0.42 42 0.0984105 0.00463494 0.0990925 0.0860199
0.43 43 0.100567 0.00475616 0.10126 0.0879574
0.44 44 0.102708 0.00487786 0.103411 0.0898812
0.45 45 0.104833 0.00499854 0.105549 0.0917809
0.46 46 0.106945 0.0051202 0.107675 0.0936584
0.47 47 0.109047 0.0052423 0.109793 0.0955025
0.48 48 0.11114 0.00536562 0.111903 0.0973287
0.49 49 0.113219 0.00548906 0.114003 0.0991275
0.5 50 0.115292 0.00561301 0.116099 0.100905
0.51 51 0.11734 0.00573656 0.118172 0.102669
0.52 52 0.119351 0.0058594 0.120203 0.104417
0.53 53 0.121331 0.00598034 0.122206 0.106128
0.54 54 0.123294 0.00610098 0.124191 0.107824
0.55 55 0.125242 0.00622067 0.126158 0.109506
0.56 56 0.12718 0.00633933 0.128116 0.111175
0.57 57 0.129108 0.00645822 0.130062 0.112841
0.58 58 0.131029 0.00657876 0.132003 0.114486
0.59 59 0.132941 0.006701 0.133932 0.116118
0.6 60 0.134849 0.00682304 0.135854 0.117758
0.62 62 0.138608 0.00706536 0.139641 0.120984
0.63 63 0.140457 0.00718442 0.1415 0.122591
0.64 64 0.142289 0.00730296 0.143345 0.124187
0.65 65 0.144106 0.00741915 0.145177 0.125781
0.66 66 0.145912 0.00753349 0.146997 0.127361
0.67 67 0.147712 0.0076471 0.148812 0.128946
0.69 69 0.151291 0.00786999 0.152431 0.132037
0.7 70 0.153077 0.00798248 0.154241 0.133558
0.71 71 0.154852 0.00809476 0.156042 0.135051
0.73 73 0.158322 0.00831404 0.159563 0.137969
0.74 74 0.160031 0.00842319 0.161294 0.139439
0.75 75 0.161735 0.00853084 0.163016 0.140919
0.77 77 0.165136 0.00874632 0.166445 0.143908
